"PredictorA","PredictorB"
0.1582,0.1609
0.6552,0.4918
0.706,0.6333
0.1992,0.0881
0.3952,0.4152
0.425,0.2988
0.0658,0.1786
0.3086,0.2802
0.1654,0.1156
0.1056,0.0801
0.0996,0.0492
0.0847,0.0548
0.1215,0.1097
0.2547,0.1896
0.1901,0.164
0.3645,0.2476
0.2237,0.2328
0.1601,0.1237
0.137,0.1675
0.5419,0.5832
0.2909,0.3021
0.4129,0.2869
0.1892,0.1456
0.0622,0.074
0.0472,0.0414
0.0942,0.0841
0.1518,0.0847
0.3476,0.168
0.3282,0.3376
0.371,0.2607
0.2434,0.1934
0.1167,0.197
0.0639,0.0728
0.2375,0.1109
0.2555,0.1767
0.1785,0.2327
0.0273,0.1303
0.0522,0.1475
0.052,0.1152
0.0898,0.1579
0.0922,0.1606
0.1599,0.0888
0.1935,0.0869
0.3738,0.2132
0.0861,0.0891
0.3332,0.2459
0.294,0.3336
0.2565,0.1564
0.3473,0.1459
0.372,0.2143
0.0979,0.1078
0.0844,0.075
0.1862,0.1315
0.1209,0.0528
0.1475,0.1445
0.1387,0.1742
0.2115,0.1911
0.078,0.1564
0.0948,0.1442
0.05,0.0888
0.11,0.1532
0.1112,0.1576
0.1101,0.0775
0.0909,0.0978
0.1554,0.0289
0.1854,0.0526
0.206,0.0327
0.2545,0.0906
0.1322,0.1522
0.1102,0.1203
0.0827,0.0937
0.1245,0.0937
0.1179,0.1063
0.0828,0.1261
0.0501,0.0972
0.0269,0.0843
0.0259,0.0938
0.0689,0.0357
0.1382,0.0575
0.1412,0.1106
0.3358,0.2709
0.3565,0.3242
0.3323,0.2373
0.4113,0.4079
0.3118,0.3135
0.0387,0.3042
0.1523,0.2139
0.0946,0.2707
0.0906,0.2366
0.0837,0.2974
0.1207,0.3015
0.3223,0.2653
0.2187,0.103
0.3259,0.2693
0.225,0.0994
0.0794,0.0942
0.0671,0.0904
0.2497,0.0947
0.2259,0.2907
0.2615,0.2251
0.5205,0.5466
0.5771,0.5533
0.4257,0.3208
0.4754,0.2969
0.4992,0.3877
0.3988,0.25
0.1734,0.0897
0.2473,0.1255
0.2023,0.1582
0.084,0.1132
0.1741,0.1125
0.2226,0.161
0.3323,0.2799
0.2869,0.1995
0.2973,0.2486
0.3025,0.2309
0.3106,0.2228
0.3109,0.2621
0.2154,0.1989
0.365,0.289
0.239,0.1809
0.2568,0.2164
0.2961,0.2855
0.2399,0.221
0.3934,0.3645
0.3643,0.333
0.5249,0.4867
0.1334,0.3943
0.3999,0.3483
0.5484,0.4257
0.5364,0.3794
0.0991,0.3816
0.17,0.3488
0.2583,0.5002
0.2251,0.5304
0.0834,0.335
0.2362,0.4733
0.5033,0.7342
0.316,0.1739
0.2681,0.1791
0.2671,0.1546
0.1764,0.234
0.2807,0.2544
0.2778,0.2646
0.0904,0.0523
0.392,0.2534
0.2631,0.2509
0.1377,0.2128
0.3985,0.2891
0.1787,0.1796
0.1556,0.1748
0.152,0.2245
0.199,0.2295
0.0236,0.1239
0.0754,0.118
0.0367,0.0785
0.3263,0.3265
0.3037,0.2188
0.3431,0.3104
0.2484,0.2946
0.2601,0.2506
0.2621,0.2192
0.2087,0.2343
0.288,0.2472
0.375,0.3691
0.2984,0.2549
0.1335,0.137
0.1084,0.11
0.2575,0.2118
0.2389,0.2026
0.2325,0.2405
0.4507,0.6254
0.3035,0.3273
0.3161,0.3056
0.5239,0.4786
0.5044,0.4231
0.5632,0.4674
0.3108,0.2931
0.247,0.1734
0.3404,0.3078
0.5611,0.5222
0.4292,0.3412
0.4499,0.4229
0.5148,0.4025
0.5679,0.6675
0.5341,0.5245
0.3669,0.3504
0.2935,0.2936
0.3094,0.3003
0.2719,0.2361
0.2783,0.2476
0.2536,0.2128
0.2712,0.2481
0.2721,0.2198
0.3049,0.268
0.3134,0.2431
0.3484,0.2521
0.2648,0.2222
0.31,0.2652
0.2882,0.3171
0.3738,0.3468
0.3553,0.3188
0.3309,0.3941
0.2933,0.3108
0.3425,0.3085
0.2374,0.2716
0.2812,0.2898
0.2442,0.272
